FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,LULC,Drainage density,Geomorphology,Soil,Slope,Rain,Lineament density,Lithology,validation point categorical data,Net Groundwater Recharge
269,Point,GT1020006,smtmblwSL,24.79,89.36,BOG006,BO019,14,0,19,2,1.22833,1520.65,0.015092,2,2,96.6044
273,Point,GT1040011,smtmblwSL,24.96,89.43,BOG011,BO018,14,0.148951,18,2,0.761852,1559.88,0.129657,6,4,224.002
278,Point,GT1088023,smtmblwSL,24.68,89.38,BOG023,BO035,14,0.048613,22,2,1.07736,1497.1,0.044094,2,1,40.674
280,Point,GT1094025,smtmblwSL,25.06,89.32,BOG025,BO025,14,0.173606,24,2,3.08247,1542.13,0.035143,9,3,163.882
294,Point,GT2743019,smtmblwSL,25.29,89.23,DIN019,DI090,14,0.114308,27,2,2.18069,737.564,0.066875,2,3,182.297
314,Point,GT3847001,smtmblwSL,25.13,89.06,JOY001,BO007,14,0.044289,22,2,1.40459,1541.79,0.146062,2,1,19.6393
36,Point,GT7037003,alwsblwSL,24.93,88.41,NAW003,RJ048,14,0.182516,23,1,0,1287.22,0.128043,2,1,15.5364
42,Point,GT1095026,nvblwSL,25.01,89.49,BOG026,BO004,14,0.20626,15,1,0.681429,1557.47,0.051572,9,3,179.314
152,Point,GT8172038,smtmblwSL,24.43,88.6,RAJ038,RJ095,14,0.04787,16,1,1.22833,1318.49,0.093613,9,2,54.6446
160,Point,GT7616006,smtmblwSL,23.92,89.64,PAB006,PA039,14,0.283392,11,1,1.73686,1274.27,0.477807,9,3,137.741
170,Point,GT7655027,smtmblwSL,24.01,89.35,PAB027,PA043,14,0.025023,9,1,1.70315,1321.22,0.025605,9,2,61.7752
171,Point,GT7683030,smtmblwSL,23.88,89.51,PAB030,PA008,19,0.153103,7,1,0.963641,1304.5,0.277869,9,2,79.0064
172,Point,GT7683031,smtmblwSL,23.94,89.45,PAB031,PA019,14,0.100194,11,1,1.70315,1307.25,0.147394,9,3,133.016
221,Point,GT6403002,smtmblwSL,24.66,88.96,NAO002,RJ025,14,0.228957,17,1,2.47901,1244.04,0.230426,9,2,90.8671
222,Point,GT6403003,smtmblwSL,24.61,89,NAO003,RJ137,14,0.155845,14,1,2.04352,1122.47,0.198703,9,2,71.909
237,Point,GT6915002,smtmblwSL,24.25,89.21,NAT002,RJ082,14,0.1433,12,1,0.761852,1530.78,0.170679,9,2,64.4687
238,Point,GT6915004,smtmblwSL,24.31,89.22,NAT004,RJ144,14,0.041792,9,1,1.36267,1426.03,0.273471,9,2,67.4872
240,Point,GT6941005,smtmblwSL,24.42,89.25,NAT005,RJ089,14,0.259123,12,1,0.481854,1402.24,0.280004,9,2,63.8617
248,Point,GT6991015,smtmblwSL,24.47,89.14,NAT015,RJ090,14,0.211688,13,1,2.07168,1459.47,0.129477,9,2,58.1733
253,Point,GT7066013,smtmblwSL,24.68,88.3,NAW013,RJ074,14,0.244907,30,1,2.88874,1340.5,0.21423,9,1,22.0468
259,Point,GT7088021,smtmblwSL,24.68,88.22,NAW021,RJ078,12,0.081162,17,1,0.481854,1324.39,0.156316,6,1,27.0271
262,Point,GT7088024,smtmblwSL,24.7,88.12,NAW024,RJ107,12,0.086206,24,1,2.38374,1327.01,0.186229,9,1,29.3975
